Sr.no,Topic,Difficulty,Question,Answer
29,cassandra,Intermediate,Can i use order by on any column i want in cassandra,No thats a common mistake you can only use order by on clustering columns and even then only within a single partition you can not sort data globally across the whole cluster
30,cassandra,Intermediate,What is the difference between a set and a list in cassandra,A set stores unique values and is unordered a list allows duplicates and preserves order sets are generally more performant because they dont require the internal read before write that lists often do
31,cassandra,Intermediate,How do you change the replication factor of an existing keyspace,I use alter keyspace after that i must run nodetool repair on all nodes to ensure the new replicas are created
32,cassandra,Intermediate,What is the purpose of nodetool drai,It flushes all memtables to disk and stops the node from listening to the network we usually run this before upgrading or stopping the service
33,cassandra,Intermediate,Can cassandra handle updates that increase row size,Yes but internally it just writes a new version of the row the old one is cleaned up later during compaction
34,cassandra,Intermediate,What is the smallest recommended cluster size for production,3 nodes this allows you to have a replication factor of 3 and still maintain a quorum if one node fails
35,cassandra,Advanced,Explain the read path how does cassandra find data across multiple sstables,It checks the memtable first then uses bloom filters and index summaries to quickly narrow down which sstables might contain the data on disk
36,cassandra,Advanced,What is a bloom filter,a memory efficient structure that tells you if a key definitely does not exist in an sstable it saves a lot of unnecessary disk input output
37,cassandra,Advanced,Explain anti entropy repair,it is a process run using nodetool repair that compares merkle trees between nodes to ensure all data is perfectly synchronized
38,cassandra,Advanced,How do you design a table in cassandra do you follow third normal form,Absolutely not in cassandra we use query driven modeling we design the table specifically to satisfy one query even if it means duplicating data
39,cassandra,Advanced,What happens to the data in the memtable,Once the memtable is full it is flushed to the disk into an immutable file called an sstable
40,cassandra,Advanced,Wait if sstables are immutable how do you delete data,cassandra doesnt delete data immediately it writes a marker called a tombstone during compaction the old data and the tombstone are finally purged
41,cassandra,Advanced,What is the commit log,Commit log is a crash recovery mechanism every write is logged there first if the server loses power before the memtable is flushed cassandra replays the commit log to recover data
42,cassandra,Advanced,Explain anti entropy repair,It is a process run using nodetool repair that compares merkle trees between nodes to ensure all data is perfectly synchronized
43,cassandra,Advanced,What is a merkle tree,Merkle tree is a hash tree used to find differences in data between nodes without sending the actual data over the network
44,cassandra,Advanced,What is a materialized view in cassandra, Materialized view is a table that cassandra manages automatically to allow querying the same data with a different Primary Key
45,cassandra,Advanced,What happens if a node stays down for a long time,The hints are deleted you must run a manual nodetool repair once the node comes back to ensure it gets the missed data
46,cassandra,Advanced,What is the jmx interface used for,Jmx interface used for monitoring and managing the cassandra process through tools like jconsole or prometheus
47,cassandra,Advanced,Explain multi dc replication,You can have one cluster span across two different physical datacenters cassandra handles the cross region replication automatically
48,cassandra,Advanced,How do you refresh a table after manually adding an sstable file,I use nodetool import or the older sstableloader tool
49,cassandra,Advanced,What is a custom payload in cql,It is a way for clients to send extra metadata to custom query handlers or triggers on the server side
50,cassandra,Advanced,Does cassandra support acid,It supports atomicity and isolation at the row level but it does not support multi table transactions like a sql database
51,cassandra,Advanced,When should you not use cassandra,If your data is small if you need complex joins or if your query patterns change every day cassandra is for massive predictable workloads
52,core javascript,Easy,How do you write a single-line comment,Using //
53,core javascript,Easy,What does the % (modulus) operator do,It returns the remainder of a division.
54,core javascript,Easy,Which operator is used to concatenate strings,The + operator
55,core javascript,Easy,What method converts a string to uppercase,.toUpperCase()
56,core javascript,Easy,Which function displays a message in a popup window,alert()
57,core javascript,Easy,Which array method removes the last element,.pop()
58,core javascript,Easy,What symbol is used for logical AND,&&
59,core javascript,Easy,Can you redeclare a let variable in the same scope,No
60,core javascript,Easy,Which event occurs when a user clicks an HTML element,onclick
61,core javascript,Easy,How do you create a new Date object,new Date()
62,core javascript,Easy,How do you join two arrays,Using the .concat() method
63,core javascript,Easy,How do you check if a number is even,num % 2 == 0
64,core javascript,Easy,What keyword stops a loop from executing,break
65,core javascript,Easy,What keyword skips the current iteration of a loop,continue
66,core javascript,Easy,How do you remove whitespace from both ends of a string,Using .trim()
67,core javascript,Easy,What is the global object in client-side JavaScript,window
68,core javascript,Easy,What is the data type of true,Boolean
69,core javascript,Easy,How do you check the length of a string str,str.length
70,core javascript,Easy,How do you define a function named myFunc,function myFunc() {  }
71,core javascript,Easy,How do you select an element by its ID,document.getElementById('idName')
72,core javascript,Intermediate,What is Event Bubbling,"When an event happens on an element, it first runs the handlers on it, then on its parent, then all the way up on other ancestors"
73,core javascript,Intermediate,What is the difference between window and document,window is the global object representing the browser tab; document is a property of window representing the loaded HTML content
74,core javascript,Intermediate,How do default parameters work in ES6,You can initialize named parameters with default values if no value or undefined is passed
75,core javascript,Intermediate,What is Array Destructuring,A syntax to unpack values from arrays into distinct variables
76,core javascript,Intermediate,What is the difference between setTimeout and setInterval,setTimeout runs once after a delay; setInterval runs repeatedly at specified intervals
77,core javascript,Intermediate,What is an IIFE (Immediately Invoked Function Expression),A function that runs as soon as it is defined
78,core javascript,Intermediate,How do you check if a specific key exists in an object,"Using the in operator (e.g., ""key"" in obj)"
79,core javascript,Intermediate,What is the difference between array.forEach() and array.map(),map returns a new array; forEach executes a function for side effects and returns undefined
80,core javascript,Intermediate,What is the Temporal Dead Zone (TDZ),"The time between entering a scope and the actual declaration of a let or const variable, during which accessing it throws an error"
81,core javascript,Intermediate,How do you create a Promise,"new Promise((resolve, reject) => {  })"
82,core javascript,Intermediate,What keywords are used to handle errors in JavaScript,"try, catch, finally, and throw"
83,core javascript,Intermediate,What is a module in JavaScript,A file containing code that can export portions of itself (export) and import code from other files (import)
84,core javascript,Intermediate,How do you clone an object (shallow copy) using ES6,Using the spread operator: const copy = { ...original };
85,core javascript,Intermediate,What is the purpose of the class keyword,It provides a cleaner syntax to create objects
86,core javascript,Intermediate,How do you inherit from a class,Using the extends keyword
87,core javascript,Intermediate,What is localStorage limit usually,Approximately 5MB per domain
88,core javascript,Intermediate,Does const make an object immutable,"No, it prevents reassignment of the variable identifier, but the properties of the object can still be changed"
89,core javascript,Intermediate,What is the arguments object,An array-like object accessible inside functions (except arrow functions) that contains the values of the arguments passed
90,core javascript,Intermediate,What is the difference between null and undefined in terms of usage,"undefined is the default value of uninitialized variables; null is a value explicitly assigned to indicate ""no value"""
91,core javascript,Intermediate,How does JSON.parse() work,It converts a JSON string into a JavaScript object
92,core javascript,Advanced,Explain the Event Loop,"A mechanism that handles asynchronous callbacks. It constantly checks if the Call Stack is empty; if so, it pushes tasks from the Callback Queue/Microtask Queue to the stack"
93,core javascript,Advanced,What is the difference between Microtasks and Macrotasks,"Microtasks (Promises, queueMicrotask) have higher priority and run immediately after the current script; Macrotasks (setTimeout, I/O) run in the next loop iteration"
94,core javascript,Advanced,What is a Closure Memory Leak,"When a closure holds a reference to a large variable in an outer scope, preventing the Garbage Collector from freeing that memory even if it's no longer needed"
95,core javascript,Advanced,Explain Prototypal Inheritance vs. Classical Inheritance,Classical inheritance uses classes as blueprints. Prototypal inheritance uses objects linked to other objects (via the prototype chain) to share properties.
96,core javascript,Advanced,What is the difference between __proto__ and prototype,prototype is a property of constructor functions used to build __proto__; __proto__ is the actual reference on an instance object pointing to its prototype
97,core javascript,Advanced,How does the new keyword work internally,"It creates a new object, links its prototype to the constructor's prototype, binds this to the new object, and returns the object"
98,core javascript,Advanced,What is the difference between Promise.all() and Promise.allSettled(),all() rejects immediately if one promise fails; allSettled() waits for all to finish regardless of success or failure
99,core javascript,Advanced,What is a WeakMap,"A collection of key/value pairs where keys must be objects and are ""weakly"" held"
100,core javascript,Advanced,What is a Proxy object,An object that wraps another object and intercepts operations (like reading/writing properties) allowing custom behavior
101,core javascript,Advanced,What is Debouncing,A technique to ensure a function is not called too frequently; it waits for a pause in invocations before running
102,core javascript,Advanced,What is Throttling,A technique to ensure a function is called at most once in a specified time period
103,core javascript,Advanced,What is the purpose of Symbol primitive,"To create unique identifiers, often used for object property keys to avoid name collisions"
104,core javascript,Advanced,How does JavaScript handle integers larger than 2^53 - 1,Using the BigInt data type
105,core javascript,Advanced,What is the Critical Rendering Path,"The sequence of steps the browser takes to convert HTML, CSS, and JS into actual pixels on the screen"
106,core javascript,Advanced,What is a Service Worker,"A script that runs in the background, separate from the web page, enabling features like offline caching and push notifications"
107,core javascript,Advanced,What is a Polyfill,What is a Polyfill
108,core javascript,Advanced,"What is ""Hoisting"" regarding classes","Unlike functions, classes are not hoisted (or rather, they are in the TDZ) and cannot be used before declaration"
109,core javascript,Advanced,What is Tail Call Optimization (TCO),An optimization where the engine reuses the stack frame for the last function call in a function to prevent stack overflow in recursion (supported in strict mode in some engines)
110,core javascript,Advanced,What is a Memory Leak and how do you detect it,"Unwanted memory retention; detected using Chrome DevTools ""Memory"" tab (Heap Snapshots)"
111,core javascript,Advanced,What is the Shadow DOM,"A way to attach a hidden, separate DOM tree to an element, providing encapsulation for CSS and JS (used in Web Components)"
112,django,Easy,What is Django?,"Django is a high-level Python web framework that enables rapid development of secure and maintainable web applications. It follows the batteries-included philosophy by providing built-in features such as authentication, ORM, admin panel, and security mechanisms. Django encourages clean architecture, code reusability, and faster development cycles."
113,django,Intermediate,What architectural pattern does Django follow?,"Django follows the MVT (Model-View-Template) architecture. The Model manages database structure, the View handles business logic, and the Template controls presentation. Although similar to MVC, Django uses different naming conventions while keeping responsibilities clearly separated."
114,django,Easy,What is a Django project and a Django app?,"A Django project is the overall web application containing settings and configurations, while a Django app is a modular component that performs a specific function. Multiple apps can exist within a single project, promoting modular and reusable code."
115,django,Advanced,Explain Django’s request–response lifecycle.,"A request first passes through middleware, then URL routing maps it to a view. The view processes logic, interacts with models, renders a template or response, which again passes through middleware before reaching the client."
116,django,Intermediate,What is Django ORM?,"Django ORM allows developers to interact with databases using Python classes instead of raw SQL. It simplifies database operations, improves security, and supports database portability."
117,django,Easy,What is manage.py used for?,"manage.py is a command-line utility used to run the development server, apply migrations, create superusers, and manage Django applications."
118,django,Advanced,What are Django middlewares and why are they used?,"Middleware processes requests and responses globally. It is used for authentication, session handling, security checks, logging, and other cross-cutting concerns."
119,django,Intermediate,What are Django models?,Django models define database schema using Python classes. Each model maps to a database table and fields represent columns.
120,django,Easy,What is Django Admin?,Django Admin is an automatically generated interface that allows administrators to manage application data with minimal configuration.
121,django,Advanced,How does Django handle database migrations?,"Django migrations track model changes and apply them incrementally to the database schema, ensuring consistency across environments."
122,django,Intermediate,What is a Django view?,A view is a function or class that handles web requests and returns responses containing business logic.
123,django,Easy,What is a URL dispatcher in Django?,The URL dispatcher maps incoming URLs to their respective views using URL patterns.
124,django,Advanced,Explain function-based views vs class-based views.,"Function-based views are simple and straightforward, while class-based views provide reusable, extensible, and object-oriented approaches for complex logic."
125,django,Intermediate,What are Django templates?,Templates define the presentation layer using Django Template Language to render dynamic HTML content.
126,django,Easy,What is settings.py?,"settings.py contains all project configurations such as database settings, installed apps, middleware, and security options."
127,django,Advanced,How does Django ensure security by default?,"Django protects against SQL injection, XSS, CSRF, clickjacking, and password attacks through built-in security features and middleware."
128,django,Intermediate,What is QuerySet in Django?,"A QuerySet represents a lazy collection of database queries allowing filtering, ordering, and aggregation of data."
129,django,Easy,What is CSRF protection in Django?,CSRF protection prevents unauthorized form submissions by using secure tokens.
130,django,Advanced,Explain Django authentication system.,"Django provides a built-in authentication system for managing users, groups, permissions, login, logout, and password security."
131,django,Intermediate,What is INSTALLED_APPS?,INSTALLED_APPS lists all Django apps enabled within the project.
132,django,Easy,What is a superuser in Django?,A superuser is an administrative account with full permissions and access to Django Admin.
133,django,Advanced,How does Django handle static and media files?,"Django manages static files for CSS and JavaScript and media files for user uploads, configured separately for development and production."
134,django,Intermediate,What is pagination in Django?,Pagination splits large datasets into smaller pages to improve performance and user experience.
135,django,Easy,What is urls.py?,urls.py maps URL patterns to corresponding views.
136,django,Advanced,Explain Django signals.,Signals allow decoupled components to communicate by triggering actions when certain events occur.
137,django,Intermediate,What is Django Rest Framework (DRF)?,"DRF is a toolkit for building RESTful APIs with features like serializers, authentication, and permissions."
138,django,Easy,What is a serializer?,A serializer converts Django model instances into JSON and vice versa for API communication.
139,django,Advanced,Difference between select_related and prefetch_related.,"select_related uses SQL joins for foreign keys, while prefetch_related performs separate queries for many-to-many relationships."
140,django,Intermediate,What is Django middleware order?,Middleware executes in the order defined for requests and reverse order for responses.
141,django,Easy,What is Django shell?,Django shell is an interactive environment for testing models and queries.
142,django,Advanced,How does Django handle caching?,"Django supports caching backends like memory, file-based, and Redis to improve performance."
143,django,Intermediate,What is a context processor?,Context processors inject variables globally into templates.
144,django,Easy,What is WSGI?,WSGI defines how web servers communicate with Python web applications.
145,django,Advanced,Explain Django transactions.,Django transactions ensure atomic database operations where all changes succeed or fail together.
146,django,Intermediate,What is Form vs ModelForm?,"Form is manually defined, while ModelForm automatically generates fields from models."
147,django,Easy,What is makemigrations?,makemigrations generates migration files based on model changes.
148,django,Advanced,How does Django handle concurrency?,Django handles concurrency using thread-safe request handling and database transactions.
149,django,Intermediate,What is Django context?,Context is a dictionary of data passed from views to templates.
150,django,Easy,What is DEBUG mode?,DEBUG mode provides detailed error pages during development and must be disabled in production.
151,django,Advanced,How does Django support REST APIs?,Django supports REST APIs mainly through Django Rest Framework with serialization and authentication tools.
152,django,Intermediate,What is database indexing in Django?,Indexing improves query performance by allowing faster data retrieval.
153,django,Easy,What is collectstatic?,collectstatic gathers all static files into one directory for production.
154,django,Advanced,What are Django permissions and groups?,"Permissions control access to actions, while groups assign permissions to multiple users."
155,django,Intermediate,What is a slug field?,A slug field stores URL-friendly text for SEO-friendly URLs.
156,django,Easy,What is ALLOWED_HOSTS?,ALLOWED_HOSTS specifies which domains can serve the Django application.
157,django,Advanced,How do you deploy a Django application?,"Deployment involves configuring a web server, application server, database, static files, and environment variables."
158,django,Intermediate,What is Django testing framework?,"Django provides a testing framework based on unittest for testing models, views, and APIs."
159,django,Easy,What is requirements.txt?,requirements.txt lists project dependencies for consistent environments.
160,django,Advanced,How does Django handle scalability?,"Django scales using load balancing, caching, and database optimization."
161,django,Easy,Why is Django suitable for large applications?,"Django promotes clean architecture, security, scalability, and rapid development."
162,core java ,Easy,So first tell me what exactly is Java and where you have used it,Java is basically an object oriented programming language and I mostly use it to build backend logic and small applications and it runs on JVM so it works on any system
163,core java ,Easy,Ok so when you write Java code how does it actually run in the system,First Java compiler converts code into bytecode and then JVM runs that bytecode
164,core java ,Easy,Why people say Java is platform independent,Because Java does not run directly on OS it runs on JVM and JVM is available for every OS
165,core java ,Easy,Can you explain what JVM actually does,JVM executes bytecode and also manages memory and handles garbage collection
166,core java ,Easy,You must have heard JDK and JRE so what is the real difference,JDK is used to write and compile code and JRE is only used to run Java programs
167,core java ,Easy,If I install JDK do I still need JRE,JDK already contains JRE so we do not need to install it separately
168,core java ,Easy,While coding in Java what basic data types you usually use,I mostly use int float double char and boolean
169,core java ,Easy,In Java everything is object but still we have primitives so why is that,Primitives are there for performance and memory efficiency
170,core java ,Easy,So tell me what is a class in your own words,Class is like a blueprint which defines what an object will have and what it can do
171,core java ,Easy,Then what exactly is an object,Object is a real instance of a class which we actually use in program
172,core java ,Easy,Why Java program always starts from main method,Because JVM looks for main method first to start execution
173,core java ,Easy,Why main method is static in Java,So that JVM can call it without creating object
174,core java ,Easy,When you create object what method is called automatically,Constructor is called automatically when object is created
175,core java ,Easy,Can you tell me what constructor is used for,Constructor is used to initialize object variables
176,core java ,Easy,Can we write more than one constructor in a class,Yes we can do constructor overloading by using different parameters
177,core java ,Easy,You have used this keyword so why do we actually need it,This keyword is used to refer current object and to avoid confusion between variables
178,core java ,Easy,So tell me what is inheritance and why do we use it,Inheritance is used to reuse code and access parent class features in child class
179,core java ,Easy,In simple words what is polymorphism,Polymorphism means same method behaves differently in different situations
180,core java ,Easy,What is the difference between overloading and overriding,Overloading is same method name in same class and overriding is redefining parent method in child class
181,core java ,Easy,Why do we make variables private in class,To protect data and achieve encapsulation
182,core java ,Easy,So how do you access private variables then,We use getters and setters to access private variables
183,core java ,Easy,Have you used interface If yes why,Yes interface is used when we want to define a rule that classes must follow
184,core java ,Easy,What is the use of abstract class in real projects,It is used when we want to share common code and also force child class to implement some methods
185,core java ,Easy,Why Java does not support multiple inheritance with classes,To avoid confusion and complexity like diamond problem
186,core java ,Easy,So how Java achieves multiple inheritance,By using interfaces
187,core java ,Easy,What is package and why we use it,Package is used to organize code and avoid class name conflicts
188,core java ,Easy,When you write static keyword what does it mean,It means that variable or method belongs to class not to object
189,core java ,Easy,So where have you used static in your code,I have used static in main method and utility methods
190,core java ,Easy,What is final keyword and where do you use it,Final is used when we do not want to change variable or override method or extend class
191,core java ,Easy,While running program have you seen errors so what is exception,Exception is a runtime problem that stops normal flow of program
192,core java ,Easy,So how do you usually handle exceptions in your code,We use try catch block to handle exceptions
193,core java ,Easy,What is finally block and when it is useful,Finally block is used to write cleanup code and it always runs
194,core java ,Easy,You use String a lot so what exactly is String in Java,String is an object that represents sequence of characters
195,core java ,Easy,People say String is immutable so what does that mean,It means once created we cannot change its value
196,core java ,Easy,So why Java made String immutable,For security memory saving and thread safety
197,core java ,Easy,What is the difference between == and equals in real usage,Double equal checks reference and equals checks actual content
198,core java ,Easy,When do you use array in your program,When I need to store multiple values of same type
199,core java ,Easy,If you want to repeat something many times what do you use,We use loops like for and while
200,core java ,Easy,So when do you prefer for loop and when while loop,If I know number of iterations I use for loop otherwise while loop
201,core java ,Easy,In loop what is use of break and continue,Break stops loop and continue skips current iteration
202,core java ,Easy,Can you explain what this code will print int a=5 System.out.println(a++),It will print 5 because first value is used then it is increased to 6
203,core java ,Easy,What will be output of this code int a=5 System.out.println(++a),It will print 6 because value is increased first and then printed
204,core java ,Easy,Can you tell me what happens in this code int a=10 int b=20 a=b System.out.println(a),It will print 20 because value of b is assigned to a
205,core java ,Easy,What will this code print String s1=new String(hello) String s2=new String(hello) System.out.println(s1==s2),It will print false because both references point to different objects
206,core java ,Easy,Explain this code String s1=hello String s2=hello System.out.println(s1==s2),It will print true because both refer to same string from string pool
207,core java ,Easy,What will happen in this code int arr[]=new int[5] System.out.println(arr[0]),It will print 0 because default value of int array is zero
208,core java ,Easy,Can you explain this loop for int i=0 i<5 i++ System.out.println(i),It will print numbers from 0 to 4 because loop runs until i is less than 5
209,core java ,Easy,What will this code do int i=0 while(i<3){ System.out.println(i) i++; },It will print 0 1 2 and then loop will stop
210,core java ,Easy,What error will this code throw int a=10 int b=0 System.out.println(a/b),It will throw ArithmeticException because division by zero is not allowed
211,core java ,Easy,Can you explain this code if(true){ System.out.println(Hello); },This code will give compile time error because Hello is not in quotes
212,core java ,Easy,What will happen if we run this code String s=null System.out.println(s.length()),It will throw NullPointerException because we are calling method on null
213,core java ,Easy,Explain this code int a=5 int b=5 System.out.println(a==b),It will print true because both values are same
214,core java ,Easy,What will be output of this code int x=1 x+=2 System.out.println(x),It will print 3 because x becomes 1 plus 2
215,core java ,Easy,Can you explain this code int a=3 int b=4 System.out.println(a>b),It will print false because 3 is not greater than 4
216,core java ,Easy,What will this code print int arr[]={1 2 3} System.out.println(arr.length),It will print 3 because array has three elements
217,core java ,Intermediate,So can you explain what exactly happens in memory when you create an object in Java,When we create an object first memory is allocated in heap then constructor is called and reference is stored in stack and after that we can use that object in program
218,core java ,Intermediate,Many people talk about heap and stack so can you explain how both are used in real execution,Stack is mainly used for method calls and local variables and heap is used to store objects and when method finishes stack memory is cleared but heap object stays until garbage collection
219,core java ,Intermediate,You said String is immutable so what actually happens if we try to change a String,When we try to change a String Java creates a new object and old one remains unchanged and reference is updated to new object
220,core java ,Intermediate,So where exactly these String objects are stored in memory,Strings are stored in heap and there is also a special area called String pool to reuse same values
221,core java ,Intermediate,In real projects why do people prefer StringBuilder over String,Because StringBuilder is mutable and when we modify string many times it does not create new objects again and again so it is faster and uses less memory
222,core java ,Intermediate,Can you explain garbage collection in your own words,Garbage collection means Java automatically removes objects which are no longer used so that memory can be freed and program does not crash due to memory issue
223,core java ,Intermediate,So how does JVM decide which object should be removed,JVM checks which objects are not reachable by any reference and those objects become eligible for garbage collection
224,core java ,Intermediate,Why do we need wrapper classes in Java,Wrapper classes are needed when we want to treat primitive values like objects such as when working with collections
225,core java ,Intermediate,You might have heard autoboxing so can you explain what problem it solves,Autoboxing automatically converts primitive to object and unboxing converts object to primitive so developer does not need to do it manually
226,core java ,Intermediate,If I ask you when to use ArrayList and when LinkedList what will you say,If we need fast access by index we use ArrayList and if we do many insert and delete operations we prefer LinkedList
227,core java ,Intermediate,So tell me how HashMap actually stores data internally,HashMap stores data in key value form and it uses hashcode of key to decide where to store the value in memory
228,core java ,Intermediate,What kind of problems you faced with HashMap in multithreading,HashMap is not thread safe so sometimes data can become inconsistent if multiple threads modify it at same time
229,core java ,Intermediate,Then how do you solve that problem in real projects,We use synchronized map or ConcurrentHashMap to make it thread safe
230,core java ,Intermediate,So what is the main difference between HashMap and HashTable in practice,HashMap is not synchronized and faster while HashTable is synchronized and slower so mostly we use HashMap
231,core java ,Intermediate,Can you explain what Set interface is used for with some real usage,Set is used when we want unique values only such as storing unique user ids or unique emails
232,core java ,Intermediate,When you want to sort objects how do you usually do that,We use Comparable when we want default sorting and Comparator when we want custom sorting logic
233,core java ,Intermediate,Can you explain multithreading in simple words,Multithreading means running multiple tasks at same time so that CPU is used efficiently
234,core java ,Intermediate,What is the real difference between process and thread in practical sense,Process is an independent running program and thread is a small part of that program which shares memory
235,core java ,Intermediate,So how do you usually create thread in Java project,We either extend Thread class or implement Runnable interface and then start the thread
236,core java ,Intermediate,What problem does synchronization actually solve,Synchronization makes sure that only one thread can access critical code at a time so data remains consistent
237,core java ,Intermediate,Have you heard about deadlock so what exactly happens in that case,Deadlock happens when two threads wait for each other resources and none of them can continue
238,core java ,Intermediate,So how can you avoid deadlock in your code,We can avoid deadlock by proper ordering of locks and by not holding multiple locks unnecessarily
239,core java ,Intermediate,Can you explain exception hierarchy in Java in simple way,All exceptions come under Throwable and then we have Exception and Error and under Exception we have checked and unchecked exceptions
240,core java ,Intermediate,In real projects when do you use throws keyword,We use throws when we want to pass exception responsibility to the calling method
241,core java ,Intermediate,Then why do we use throw keyword,Throw is used when we want to manually create and send an exception in code
242,core java ,Intermediate,People ask about final finally and finalize so can you explain it in simple way,Final is used for restriction finally is used with try catch and finalize is a method called before object is removed
243,core java ,Intermediate,Have you used marker interface If yes what is the idea behind it,Marker interface does not have methods but it gives special information to JVM like Serializable
244,core java ,Intermediate,If I copy one object into another what exactly happens,If we do shallow copy only reference is copied and if we do deep copy then actual object data is copied
245,core java ,Intermediate,So what is the real use of clone method,Clone method is used to create a copy of existing object without writing much code
246,core java ,Intermediate,Why volatile keyword is used in multithreading,Volatile makes sure that value is always read from main memory and not from thread local cache
247,core java ,Intermediate,What is enum and where have you used it,Enum is used when we have fixed set of values such as status or roles in application
248,core java ,Intermediate,Why do we use static block sometimes,Static block is used to initialize static data when class is loaded
249,core java ,Intermediate,What is instance block and when it runs,Instance block runs before constructor whenever object is created
250,core java ,Intermediate,So in your opinion when to use abstract class and when interface,We use interface when we need multiple inheritance and abstract class when we want to share some common code
251,core java ,Intermediate,Can you explain composition in real project terms,Composition means one class uses another class object to perform some work
252,core java ,Intermediate,What is aggregation and how is it different from composition,Aggregation is a weak relationship where objects can exist independently
253,core java ,Intermediate,Have you ever seen ConcurrentModificationException so why it happens,It happens when we modify collection while iterating using normal iterator
254,core java ,Intermediate,So how do you avoid that exception,We can use iterator remove method or use concurrent collections
255,core java ,Intermediate,Why Optional class was introduced in Java,Optional is used to avoid NullPointerException and force developer to handle null properly
256,core java ,Intermediate,Have you used Stream API so what benefit it gives,Stream API makes code cleaner and helps in processing collection data in functional style
257,core java ,Intermediate,Can you explain what will happen in this code List list=new ArrayList list.add(1) list.add(1.5) System.out.println(list),It will print both values because ArrayList stores Object type and allows mixed data types
258,core java ,Intermediate,What will be output of this code String s=hello s.concat(world) System.out.println(s),It will print hello because String is immutable and concat creates new object but reference is not changed
259,core java ,Intermediate,Explain this code StringBuilder sb=new StringBuilder(hi) sb.append(bye) System.out.println(sb),It will print hibye because StringBuilder is mutable and modifies same object
260,core java ,Intermediate,What will happen in this code int arr[]=new int[3] arr[5]=10 System.out.println(arr[0]),It will throw ArrayIndexOutOfBoundsException because index 5 does not exist
261,core java ,Intermediate,Can you explain this code try{ int a=10 int b=0 System.out.println(a/b) } catch(Exception e){ System.out.println(error) },It will print error because exception occurs and catch block handles it
262,core java ,Intermediate,What will be output of this code Integer a=100 Integer b=100 System.out.println(a==b),It will print true because small integers are cached by JVM
263,core java ,Intermediate,What will be output of this code Integer a=200 Integer b=200 System.out.println(a==b),It will print false because values outside cache range create different objects
