Serial No,Difficulty,Question,Answer
16,Hard,What is data leakage and why is it dangerous?,Data leakage occurs when information from outside the training set is used during model training. This leads to overly optimistic performance metrics and poor real-world generalization. Using pipelines and proper validation helps prevent it.
17,Medium,What is StandardScaler?,StandardScaler standardizes features by removing the mean and scaling them to unit variance. This is important for algorithms like SVM and KNN that are sensitive to feature scale.
18,Easy,What is normalization?,"Normalization rescales feature values to a fixed range, usually between 0 and 1. It improves numerical stability and model convergence for certain algorithms."
19,Hard,Difference between normalization and standardization?,"Normalization scales data to a fixed range, while standardization centers data around zero with unit variance. The choice depends on the algorithm and data distribution."
20,Medium,What is OneHotEncoder?,OneHotEncoder converts categorical variables into binary numeric columns so that machine learning algorithms can process them effectively.
21,Easy,What is unsupervised learning?,"Unsupervised learning finds patterns or structures in unlabeled data, such as clusters or hidden relationships, without predefined output labels."
22,Hard,Explain K-Means clustering and its limitations.,"K-Means groups data into K clusters by minimizing intra-cluster variance. Its limitations include sensitivity to initial centroids, difficulty handling non-spherical clusters, and the need to specify K in advance."
23,Medium,What is PCA in scikit-learn?,Principal Component Analysis is a dimensionality reduction technique that transforms features into orthogonal components capturing maximum variance while reducing dimensionality.
24,Easy,What does fit_transform() do?,"fit_transform() first learns parameters from the data and then applies the transformation in a single step, commonly used with transformers."
25,Hard,How does scikit-learn handle missing values?,"Scikit-learn provides tools like SimpleImputer to handle missing values using strategies such as mean, median, or most frequent values, ensuring models can train without errors."
26,Medium,What is a confusion matrix?,"A confusion matrix summarizes classification results by showing true positives, false positives, true negatives, and false negatives, helping analyze model performance in detail."
27,Easy,What is accuracy?,Accuracy measures the proportion of correct predictions out of all predictions made by a model.
28,Hard,Why is accuracy not suitable for imbalanced datasets?,"In imbalanced datasets, accuracy can be misleading because a model may predict the majority class most of the time and still achieve high accuracy while performing poorly on minority classes."
29,Medium,What are precision and recall?,"Precision measures how many predicted positives are correct, while recall measures how many actual positives were correctly identified."
30,Easy,What is F1-score?,"F1-score is the harmonic mean of precision and recall, providing a balanced metric when both false positives and false negatives matter."
31,Hard,Explain ROC curve and AUC.,"The ROC curve plots true positive rate against false positive rate at different thresholds, while AUC measures the model’s ability to distinguish between classes."
32,Medium,What is GridSearchCV?,GridSearchCV performs exhaustive hyperparameter tuning by evaluating all parameter combinations using cross-validation to find the best model configuration.
33,Easy,What is a hyperparameter?,"A hyperparameter is a configuration value set before training that controls model behavior, such as learning rate or number of neighbors."
34,Hard,Difference between GridSearchCV and RandomizedSearchCV?,"GridSearchCV tests all parameter combinations, while RandomizedSearchCV samples random combinations, making it faster for large search spaces."
35,Medium,What is a decision tree?,A decision tree is a model that makes predictions by splitting data based on feature values in a tree-like structure.
36,Easy,What is overfitting?,Overfitting occurs when a model learns noise in training data and performs poorly on unseen data.
37,Hard,What is ensemble learning in scikit-learn?,"Ensemble learning combines multiple models to improve performance and robustness. Scikit-learn provides methods like Random Forest, Gradient Boosting, and AdaBoost."
38,Medium,What is Random Forest?,Random Forest is an ensemble of decision trees that reduces overfitting by averaging predictions from multiple trees.
39,Easy,What is underfitting?,"Underfitting happens when a model is too simple to capture patterns in the data, leading to poor performance on both training and test sets."
40,Hard,What is feature importance in tree-based models?,"Feature importance measures how much each feature contributes to predictions, often based on impurity reduction or information gain."
41,Medium,What is Logistic Regression in scikit-learn?,Logistic Regression is a linear classification algorithm that predicts probabilities using a logistic function and is commonly used for binary classification.
42,Easy,What is Linear Regression?,Linear Regression models the relationship between input features and a continuous target variable by fitting a linear equation.
43,Hard,What is regularization in scikit-learn?,"Regularization adds penalty terms to model loss functions to reduce complexity and prevent overfitting, such as L1 and L2 penalties."
44,Medium,Difference between L1 and L2 regularization?,"L1 regularization encourages sparsity by driving coefficients to zero, while L2 regularization penalizes large coefficients smoothly."
45,Easy,What is a loss function?,A loss function measures the difference between predicted values and actual values and guides model optimization.
46,Hard,How does scikit-learn ensure reproducibility?,"Scikit-learn uses the random_state parameter to control randomness, ensuring consistent results across runs."
47,Medium,What is K-Nearest Neighbors (KNN)?,KNN is a distance-based algorithm that predicts outcomes based on the labels or values of the nearest data points.
48,Easy,What is clustering?,Clustering groups similar data points together without using labeled outputs.
49,Hard,What are the limitations of scikit-learn?,Scikit-learn is not designed for deep learning or large-scale distributed training and works best with datasets that fit in memory.
50,Easy,Why is scikit-learn important for machine learning interviews?,"Scikit-learn covers core machine learning concepts, algorithms, preprocessing techniques, and evaluation metrics that are commonly tested in ML interviews."
