QID,Difficulty,Questions,Answers
41,Hard,"Explain the React ""Fiber"" architecture","It is the internal reconciliation engine in React 16+ that enables incremental rendering, allowing React to pause, abort, or prioritize work."
42,Hard,"What is ""Reconciliation""",The process of diffing the Virtual DOM with the previous one to determine the most efficient way to update the Real DOM
43,Hard,"How does React handle ""Synthetic Events""",React uses a single global event listener (Event Delegation) at the root and wraps native browser events in a cross-browser wrapper called SyntheticEvent
44,Hard,"What is ""Concurrent Mode""",A set of features that help React apps stay responsive by rendering trees without blocking the main thread
45,Hard,How does Server-Side Rendering (SSR) differ from Static Site Generation (SSG) in the context of Hydration,SSR builds HTML on-demand per request; SSG builds it at compile time. Hydration is the client-side process where React attaches listeners to that pre-rendered HTML
46,Hard,"What is the ""Tearing"" problem in UI",A visual inconsistency where the UI shows different values for the same state simultaneously
47,Hard,"What is ""Suspense"" and how does it work internally","Suspense allows components to ""wait"" for something (like data) before rendering. Internally, the child component throws a Promise, which React catches to show a fallback until the Promise resolves"
48,Hard,Why shouldn't you update state during rendering,It causes an infinite loop of re-renders
49,Hard,What is the difference between React.createElement and JSX,JSX is syntactic sugar that gets compiled (transpiled) into React.createElement calls
50,Hard,"Explain ""Inversion of Control"" in React","Instead of a component controlling its child's logic, it accepts a ""render prop"" or function child, giving control back to the consumer of the component"
51,Hard,"What is ""Automatic Batching"" in React 1","React 18 batches state updates inside promises, timeouts, and native event handlers, which previous versions did not do"
52,Hard,"How do you implement an ""Error Boundary"" that catches async errors",Standard Error Boundaries do not catch async errors. You must implement a custom global error handler or use window.onerror / unhandledrejection listeners
53,Hard,"What is the ""Higher-Order Component"" (HOC) naming convention","HOCs usually start with with (e.g., withRouter, withAuth)"
54,Hard,"What is ""Portals"" event bubbling behavior","Even if a portal renders outside the parent DOM, the React event tree still propagates events to the React parent component, not the DOM parent"
55,Hard,How do you optimize a context that changes frequently,"Use libraries like Recoil/Zustand, or optimize by memoizing the Context value and splitting Contexts"
56,Hard,"What is the ""Dispatcher"" in React internals",The internal mechanism that keeps track of which hook implementation (mount vs update) should be used during rendering
57,Hard,"Explain the ""Observer Pattern"" in Redux","The Store holds state; the View subscribes to the Store; when state changes, the Store notifies all subscribers to update"
58,Hard,What is the difference between hydration and rendering,Rendering creates DOM nodes from scratch; Hydration attaches event listeners to existing DOM nodes generated by the server
59,Hard,How can you memoize a component that accepts a React Node (children) as a prop,It is difficult because children is essentially a new object/array on every render. You often shouldn't memoize wrapper components for this reason
60,Hard,"What is ""Tree Shaking""",A build optimization step (usually by bundlers like Webpack/Rollup) that removes unused code from the final bundle
