Serial No,Difficulty,Question,Answer
82,Hard,How can learning curves help detect bias?,"High training and validation errors indicate high bias, meaning the model is too simple to capture underlying patterns."
83,Easy,What is model persistence?,Model persistence refers to saving trained models to disk so they can be reused without retraining.
84,Medium,How do you save and load models in scikit-learn?,"Models are commonly saved and loaded using joblib or pickle, which store trained parameters efficiently."
85,Hard,What are the risks of using pickle for model storage?,"Pickle files can execute arbitrary code when loaded, making them unsafe if the source is untrusted."
86,Easy,What is feature engineering?,"Feature engineering involves creating, transforming, or combining features to improve model performance."
87,Medium,What are polynomial features?,"Polynomial features generate interaction and higher-degree features, enabling linear models to learn non-linear relationships."
88,Hard,Explain partial dependence plots.,Partial dependence plots visualize how individual features affect model predictions while averaging out other features.
89,Easy,What is anomaly detection?,Anomaly detection identifies rare or unusual data points that deviate significantly from normal patterns.
90,Medium,What anomaly detection algorithms does scikit-learn provide?,"Scikit-learn provides algorithms such as Isolation Forest, One-Class SVM, and Local Outlier Factor for anomaly detection."
91,Hard,Explain Isolation Forest.,"Isolation Forest detects anomalies by randomly partitioning data. Anomalies require fewer splits to isolate, making detection efficient."
92,Easy,What is text vectorization?,Text vectorization converts textual data into numerical representations that machine learning models can process.
93,Medium,Difference between CountVectorizer and TfidfVectorizer.,"CountVectorizer counts word occurrences, while TfidfVectorizer scales counts by word importance across documents."
94,Hard,What are n-grams and why are they useful?,"N-grams capture sequences of words, improving context understanding but increasing feature dimensionality."
95,Easy,What is cosine similarity?,Cosine similarity measures similarity between vectors based on the angle between them rather than magnitude.
96,Medium,What is a clustering evaluation metric?,Clustering evaluation metrics like silhouette score assess how well data points are grouped without using labels.
97,Hard,Explain silhouette score.,"Silhouette score measures how similar a data point is to its own cluster compared to other clusters, indicating clustering quality."
98,Easy,What is a dummy classifier?,A dummy classifier provides baseline predictions to compare against more complex models.
99,Hard,How do you deploy a scikit-learn model?,"Deployment involves saving the trained model, creating an inference pipeline, and integrating it into an API or application."
